message_id,published_msk,date,post_class,matched_rule,views,title,has_manager_cta,course_links,mentions_start,mentions_pro,deadline_mention,has_media,is_forward,forward_from,prev_gap_ids,text_len,text
1802,2026-07-20 19:05:29,2026-07-20,content,,15400,Как пройти испытательный срок и сделать х2 к зарплате,0,,1,0,,0,0,,0,4036,"Как пройти испытательный срок и сделать х2 к зарплате

Наши выпускники не только сейчас активно проходят собесы, но уже и активно строят карьеру. Дальше оригинальный текст от выпускника прошлого нашего потока курса алгоритмы старт, где качают не только алгоритмы, но и навыки, которые помогают расти в карьере. 
В первый рабочий день я спросил hr-ку, какие требования по прохождению испыта, и будет ли повышение зп после этого. «Всё зависит от твоих стараний на проекте», «зп редко повышаем после испыта» - вот такие ответы я получил и понял, что я не хочу просто закрыть испыт и получать свои крохи как джун, я хочу большего. 

Замечание с ревью не должно повториться дважды
Начал с малого. Первые недели - простые таски, закрывал в своем темпе, меня ревьюил коллега и как-то сам процесс ревью занимал много итераций (обычно это придирки в стиле «мы так не пишем», «тут мы уже изобрели велосипед, используй такой-то метод». Меня это бесило и я завел такое правило для себя: каждое замечание с ревью я не просто исправляю и забываю, а складываю в отдельный md. За пару недель из заметок собралась личная база: по сути гайд того, как в команде принято писать код. Дальше я сверялся с ним ещё до отправики на ревью. Как итог, с 3-4 итераций уменьшил до 1, как по мне крутой результат.

Когда файлик собрался приличный, я не оставил его себе, а предложил лиду релизнуть на основе него чеклист, чтобы новички в будущем быстрее вкатились. За пару созвонов все согласовали: гайд выкатили, и теперь его рекомендуют всем стажерам. 

Инициатива
Потихоньку бизнесовых задач на четырех фронтов стало слишком много, мне как джуну доверяли только баги в основном, мне это быстро надоело, и я спросил старшего, можно ли брать задачи из техбэклога, чтобы хоть как-то разнообразить задачки. Начал с лёгкого — настроил Storybook, потом посложнее : автотесты на старые сценарии. Лиду понравилось, что я и баги закрываю, и бэклог потихоньку уменьшается. Как по мне, на испыте/стажке важно быть активным, чтобы лид видел, что ты растешь и доверял тебе уже более серьезные задачи.

Начали больше доверять
Наш проект уходил в поддержку, задач становилось все меньше. Зато соседний проект готовился к новому заказчику: поменять интерфейс, добавить фичи под него. Загвоздка была в стеке: проект на Vue, а таких разработчиков в компании мало и все заняты. У меня Vue был ровно раз в универе, я на реакте пишу. Но раз я стабильно тащил, решили, что осилю - и почти до конца испыта я тянул этот проект соло.

Доверие доверием, но тянуть в соло, без единого коммерческого Vue за плечами, было честно стрёмно - базу подтягивал на ходу. Спасло то, что я висел во всех фронтовых чатах компании и не отмалчивался. Окупилось это тем, что там я нашёл того, кто согласился меня ревьюить. В новом стеке такой ревьюер - спасение: есть кому показать код перед мержем, когда сам не уверен. С ним я вкатился в Vue заметно быстрее.

Приходил с предложениями, а не жалобами
На встречах с руководством я никогда не жаловался, а наоборот — приносил решения проблем: добавить такую-то либу, которая улучшит нам жизнь, и прочее в таком духе. Жалоба перекладывает проблему на лида, а предложение снимает её. На этой разнице и рос респект ко мне.

Но респект - штука, которую к финалу ещё надо кому-то показать. Поэтому с первого дня я вёл список задачек/пр - и это не занудство. Обычно ни ты, ни твой менто, ни пм не вспомнят, что ты делал в первый месяц. На финальной встрече с HR я показал конкретный список - что сделал, что понравилось команде. Она отнесла его руководству, и по итогам испыта мне подняли зп в два раза. Мало принести пользу - её надо ещё суметь показать.

И чтобы не выглядело, будто всё шло гладко
И при этом косячил я регулярно, на ревью постоянно были какие-то правки - это норм, у всех так. Главное, что я понял: оценивают не по объёму сделанного и не по числу ошибок, а стало ли лучше после тебя. Косяки забудутся, а польза для команды и проекта - нет.

Банк собесов, тестовых заданий, пет проектов и роадмапов можно найти на нашем сайте. 

@postypashki_old"
1804,2026-07-21 17:04:33,2026-07-21,content,,15400,Как пройти службу безопасности ,0,,1,1,,0,1,"Chad Protocol - карьера, IT, успех",1,5049,"Как пройти службу безопасности 

Очень обидно провалиться на этом эатпе, когда уже есть идеальное обкатанное резюме и легенда, а собесы пройдены на 5+. Хотя на этом этапе нужно просто убедить компанию, что ты не принесёшь ей рисков: судимости, долги, связи с сомнительными организациями или расхождения в документах. 

На что смотрят
— непогашенные судимости;
— крупные просроченные долги (особенно исполнительные производства);
— участие в экстремистских или террористических организациях;
— иногда – сопоставляют записи в трудовой книжке с тем, что ты указал в резюме и анкете.

Никакой паники
Никто не ждёт, что у всех документы идеальны. Главное – не юлить и не выдумывать на ходу. Лучше заранее продумать «легенду» для неофициального опыта, чем краснеть перед сотрудником СБ за свой опыт в экстремальном порно. 
Если в трудовой у тебя запись «официант», а ты претендуешь на позицию аналитика – это нормально. Ты можешь спокойно объяснить, что параллельно развивался в IT, а официально был трудоустроен в другой сфере. Не надо отрицать очевидное и врать, что компании с такими названиями не существовало – иногда проверяют по ИНН, и ложь всплывает.

Что говорить про расхождения в трудовой
Вот несколько проверенных формулировок для разных ситуаций. Их можно использовать как шаблон – они звучат естественно и не вызывают подозрений.
1. Если ты работал в IT без официального оформления:
«Я работал по договору ГПХ на проектной основе. Запись в трудовую не вносилась, потому что это были краткосрочные проекты.»
2. Если был самозанятым или фрилансером:
«Я был оформлен как самозанятый. Выполнял задачи для нескольких небольших команд и стартапов, официального трудового договора не было.»
3. Если работал в стартапе без штата:
«Стартап был на начальной стадии, оформления в штат не было, все договорённости – устные. Я занимался тестированием, но трудовую не вели.»
4. Если совмещал с другой работой:
«Основной доход давала подработка в другой сфере, а IT-опыт я нарабатывал параллельно. Сейчас полностью переключился на аналитику.»
Все эти объяснения рабочие – они не противоречат законам и понятиям, не выглядят как попытка обмануть.

Как заполнять анкету: по трудовой или по легенде?
Здесь есть важный нюанс. По опросу более 10^6 кандидатов выяснилось, что если заполнять анкету строго по записям в трудовой книжке, включая даже не-IT места (например, официант или менеджер по продажам), то шанс пройти СБ выше. Потому что СБ видит реальную историю и не находит расхождений.
А неофициальный опыт (ГПХ, фриланс, стажировки) можно указать в отдельной графе «дополнительная информация» или просто предупредить HR заранее. Лучше сказать HR: «Я заполнил анкету строго по трудовой, а мой опыт в аналитике был неофициальным, я могу рассказать о нём отдельно». Так ты будешь выглядеть честным, и у СБ не будет повода придраться.
Про высшее образование: если его нет – не пиши. Ложь про диплом может всплыть, и откажут именно из-за неё, а не из-за отсутствия корочки. Пиши как есть.

Как быть с рекомендациями и контактами
В анкете часто просят указать телефоны бывших руководителей. Можно поставить галочку «Не звонить» – это не считается чем-то подозрительным, особенно если ты объяснишь: «компания закрылась», «руководитель уволился и его контакты утеряны» или «я работал на проекте, и контактов не сохранилось».
Если ты всё же указываешь контакты (например, для подтверждения неофициального опыта), убедись, что они рабочие. Если ты договариваешься с бывшим коллегой, чтобы он подтвердил твою занятость, – это нормальная практика. Главное, чтобы человек был готов ответить на звонок или сообщение.
Про родственников: в анкете обычно спрашивают родителей, братьев и сестёр. Лучше указывай реальные данные – ложь о близких часто проверяется по открытым базам, и её легко обнаружить.

Что делать, если звонят из СБ
Если тебе позвонили – говори спокойно, без оправданий. Повторяй ту же информацию, что указал в анкете. Не добавляй лишних деталей, не пытайся шутить. Если спросят про расхождения, используй одну из заготовленных фраз:
«Да, в трудовой этого места нет. Я работал как внештатный специалист на проектной основе, без оформления. Могу подтвердить задачи, если потребуется.»
Главное – уверенность и ровный тон.

Что делать, если СБ отказала
Отказ – не конец света. Обычно причину не называют, но ты можешь вежливо спросить у HR: «Можно ли узнать, с чем связано решение? Это поможет мне учесть в будущем». Иногда удаётся выяснить, что дело в долгах родственников или в расхождениях в датах.
Подумай, что могло пойти не так:
— расхождения между трудовой и анкетой;
— неубедительная легенда;
— финансовые проблемы (просроченные кредиты);
— наличие судимостей у близких;
— длительные поездки за границу без пояснений (для банков это триггер).
Но главное – один отказ не значит, что тебя не возьмут в другую компанию. У каждой организации свои фильтры. Есть реальные случаи, когда кандидата не пропускали в ОТП и Райффайзен, но он спокойно проходил в Тинькофф и ВТБ. Поэтому не зацикливайся – пробуй дальше и

Подпишись на наш канал: @chad_protocol"
1805,2026-07-21 19:26:14,2026-07-21,content,,20700,Скоро начнутся отборы на осенние стажировки. Самое время обсудить на какие прогр,0,,0,0,,0,0,,0,221,"Скоро начнутся отборы на осенние стажировки. Самое время обсудить на какие программы обратить свое внимание в первую очередь и как гарантировано пройти отбор! Смотрим! Смотрим!

https://www.youtube.com/watch?v=8QxduqUBn3g"
1806,2026-07-22 12:31:50,2026-07-22,external_ad,partner_link,20600,"AI Agents Security Week от ШАДа — разбираемся, как делать ИИ-агентов, которым мо",0,,0,0,,1,0,,0,1065,"AI Agents Security Week от ШАДа — разбираемся, как делать ИИ-агентов, которым можно доверять

ИИ-агенты уже пишут код, работают с данными, дёргают инструменты и подключаются к внешним сервисам. Вместе с этим растёт и интерес индустрии к инженерной стороне безопасности таких систем — тема всё чаще всплывает и на собеседованиях в BigTech.

С 27 по 31 июля ШАД проводит бесплатный онлайн-интенсив AI Agents Security Week с экспертами Яндекса.

Что разберут:
 ⚡️ чем автономные агенты отличаются от LLM
 ⚡️ как безопасно давать агентам доступ к инструментам и инфраструктуре
 ⚡️ как защищать персональные и корпоративные данные
 ⚡️ какие уязвимости и проблемы уже встречались у разработчиков разных ИИ-моделей

Формат — 5 вечерних занятий с возможностью задать вопросы экспертам напрямую. Пройдёте отборочное тестирование и итоговую работу — получите сертификат.

Подойдёт ML-разработчикам, DevOps/DevSecOps-инженерам и студентам старших курсов, которые целятся в ШАД и BigTech.

Заявки принимают до 27 июля включительно. Программа, спикеры и регистрация — по ссылке."
1809,2026-07-23 16:05:30,2026-07-23,native_promo,на наших (карьерных )?курсах,21300,Т-Академия и Т-Интенсив,0,backend-старт;ml-старт;алгоритмы-старт;аналитика-старт,1,0,,0,0,,2,3881,"Т-Академия и Т-Интенсив

Товарищи, прямо сейчас Т-Банк набирает участников на программы по аналитике и разработке.
Мы разберём вступительные испытания на карьерных курсах — выбирайте направление и смотрите, какой курс поможет подготовиться:

⭐️Т-Академия
— Разработка ПО: программирование
Разбор экзамена будет на  «Бэкенд Старт» и «Алгоритмы Старт»
Дедлайн: 31 июля

— Продуктовая аналитика: математика и SQL
Разбор экзамена будет на «Аналитика Старт»
Дедлайн: 31 июля

⭐️Т-Интенсив
— Риск-аналитика: математика и программирование
Разбор экзамена будет на «ML Старт»
Дедлайн: 26 июля

— Бизнес-аналитика: математика, SQL и аналитический кейс
Разбор экзамена будет на «Аналитика Старт»
Дедлайн: 8 августа

Программы дают возможность поработать над реальными задачами со специалистами Т-Банка, а финалисты могут получить фаст-трек на стажировку или джуновскую позицию. Но сначала нужно пройти отбор. Делимся мини-гайдом с неочевидными нюансами, которые помогут повысить шансы на поступление.

➡️Т-Академия: не пытайтесь казаться слишком опытным
Программа состоит из двух семестров, и требования к участникам отличаются: летом идёт отбор на первый семестр, ближе к осени - на второй.

На первый семестр нужен хороший технический фундамент, но именно выбранное направление должно оставаться для вас новой ступенью. 
То есть берут тех, которых есть чему учить - это прямо следует из описания программы. Если у вас серьёзный опыт именно по этому направлению, на первый семестр по нему, скорее всего, не возьмут.
Поэтому играем от смежного опыта:
— шарите за Go -> на Go шансы низкие, а на Scala - заметно выше;
— опытный бэкендер -> пробуйте фронт или мобилки.

А второй семестр как раз берут с опытом по направлению. Есть релевантный бэкграунд -> подавайтесь сразу на второй, на первый даже не тратьте время.

2. Т-Интенсив: подбираем поток под свой опыт
Интенсив — это две-три недели очень плотного погружения.
Вот два кейса наших студентов:

Кейс №1. Студент подался сразу на несколько аналитических интенсивов. Контест решил полностью, но в резюме не было ни проекта, ни опыта, связанного с аналитикой. В итоге — отказ.
Вывод: заполняйте нормальную анкету, контекст не дает гарантий.
Перед подачей сделайте хотя бы один релевантный пет-проект и опишите: какую задачу решали, какие данные использовали, какие инструменты применяли и к какому результату пришли.

Кейс №2. Другой студент подался на базовый JS-интенсив, имея несколько пет-проектов и опыт работы в университетской лабе. На базовую программу получил отказ как слишком опытный, зато на продвинутый поток прошёл без проблем.
Поэтому путь такой:
— есть только база и один-два учебных проекта → базовый поток;
— есть сильные проекты или коммерческий опыт → продвинутый.

Что сделать перед подачей

1. Подавайтесь на несколько подходящих направлений
Это не запрещено. Если программы пересекутся, вас попросят выбрать одну. Но на этапе отбора вы увеличиваете количество возможностей. Главное, чтобы ваш опыт частично совпадал с требованиями направления.

2. Адаптируйте резюме под каждую программу
Релевантные проекты и стек - наверх, лишнее либо убрать, либо в самый низ. И причесать GitHub: нормальные названия реп, ридми с описанием, что это и как запустить. Навряд ли живой человек будет проверять ваш профиль, но вот ллмка скорее всего заглянет и посмотрит, что там у вас творится, поэтому это лишним не будет.

3. Самая важная часть - мотивация
Пишем конкретно: курс - новый шаг в карьере, заряжены пройти до конца и хотите потом работать в Т-Банке. Заряженных ребят рады видеть, а раздолбаев - нет. Покажите, что свободное время есть и программу вытянете спокойно.

Подробнее, как заполнить анкету, смотрите в этом ролике

Подготовиться ко всем программам можно на наших карьерных курсах, там проходим все, что нужно для отборов: харды, софты, типовые вопросы с собесов и практикуемся на мок-интервью 

@postypashki_old"
1811,2026-07-24 19:05:26,2026-07-24,native_promo,записаться,20700,Почему ты не можешь попасть на стажировку,1,,1,1,,0,0,,1,4145,"Почему ты не можешь попасть на стажировку

Можно жаловаться на большую конкуренцию, что сейчас вакансий мало, кризис нейросети, крах айти и капитализма. Я слышу эти песни уже десятки лет. Нужно просто принять то, что мир меняется и что работало раньше, сейчас не работает. В посте обсудим какие стратегии получения оффера работают сейчас. 

Сезонные курсы, школы
Для участия нужно написать контест аналогичный стажировки и попасть в топ. Конкурс традиционно ниже просто из-за меньшего количества участников. Да и совсем жёсткие ботари не станут участвовать в каком-нибудь курсе по основам java. Иногда их прям открыто отшивают, тот же Тинек. Поэтому пишем анкету аккуратней: не нужно писать про мощные пет проекты, другие курсы, а то рекрутеры подумают, что вы слишком для них хороши и лучше дать возможность другим ребятам. Но такое происходит не всегда, нужно следить за позиционированием программы. Например, в прошлый раз как мне показалось у рекрутеров летних школ Яндекса ожидания были завышены. 
Не все курсы прям топ, зато бесплатно (бес платит). У того же Тинька они обычно очень поверхностные. Но зато если окажетесь около топа в рейтинге по дз, сразу позовут на собес. Хотя быть в топе необязательно, когда появляется вакансия стажёра, рекрутеры первым делом проходятся именно по участникам таких курсов. При том могут скипнуть несколько этапов собесов. 
Даже если и не позовут на собес, то курсы отлично будут смотреться в вашей анкете и добавят очков лояльности. 

Сейчас проходит набор на Т-академию и Т-интенсив, разбор заданий будет на наших курсах. Кстати завтра уже стартуют первые семинары, торопитесь! 
➡️ Записаться

Фесты
Проходят довольно часто. Иногда для участия нужно решить скромный контест, так как офис не резиновый.
Полно всяких конкурсов на месте, где можно выиграть гаджеты, прикольный мерч,  который поможет вам клеить первокурсниц, или фаст трек (скип нескольких этапов). Конкурсы из разряда решите задачи уровня ЕГЭ. Хотя никакого соревновательного процесса нет, нужно просто заморочиться и решить пару задач. 
Также это отличный повод просто выйти из дома и пообщаться. Особенно хорошая возможность для ребят, которые приехали учиться из регионов и только строят свой круг общения. Я , кстати, если заметил, что организаторы в рекламные посты специально выбирают фотографии как можно с большим количеством девушек. 

Дни карьеры, митапы
Все аналогично предыдущему, но могут проходить в стенах вуза, из-за чего воронка меньше. Вот, какой план. Приезжаете в субботу утром на очную встречу. Спикер говорит в духе: ""Если остались вопросы — буду рад ответить на них после доклада у стенда"". Можно подойти и сказать: ""Классный доклад! А как попасть к вам на стажировку?"". Ему внимание приятно, ему эндорфин сознание плавит. Он может и не собирался ещё вчера никого нанимать, но видит, что вы вместе с ним, превозмогая сон, приехали к 10 утра в РГГУ на Выхино. И отвечает: ""Ну приходи, вот мой номер"". 

Хакатоны, соревнования
Конечно, это хорошая идея для свидания, но также часто спонсорами таких событий являются именно компании. Если займете призовое место, то дадут  фаст трек, денежный призы, мерч, гаджеты или хотя бы чокопай. Но для нас больше интересно, что соревнование очно, а значит там есть и представители компании, которым нужен интерн / джун. Действуем по предыдущей схеме и приглашение на собес в кармане. Причем вам ненужно что-то выигрывать, рассматриваем темку просто как нетворк. 

Обычные вакансии
Помимо топовых компаний есть и ""ноунеймы"", у которых не так много вакансий и для них сильно тратиться на пиар просто иррационально, но при этом проекты, команда и тд не хуже чем в бигтехах, а отбор конечно намного проще, главное поискать. Искать можно на любом агрегаторе в духе HH/ТГ или у каждой компании есть страничка с вакансиями на своем сайте (гуглим в духе ""Тинькофф вакансии в it""). Только не подаемся на всякий кринж без перспективы развития в духе скл писателя.   

Главное помним, что выиграть в этой лотерее вполне реально, что доказывают реальные истории ваших знакомых и одногруппников, главное знать правила игры! Узнать их вам поможет наш чат единомышленников. 

@postypashki_old"
1812,2026-07-25 12:05:19,2026-07-25,native_promo,на наших (карьерных )?курсах,20200,"Собрали гайд по секции liveo coding в Авито, которая проходит у всех разработчик",0,,0,0,,0,0,,0,634,"Собрали гайд по секции liveo coding в Авито, которая проходит у всех разработчиков и ML-инженеров. 
Гайд основан на реальных внутренних документах и позволяет понять, как устроено интервью и что именно оценивают на секции.

В гайдете найдете:
➡️ как проходит секция;
➡️ чек-лист интервьюера и критерии оценки кандидата;
➡️ реальные задачи с собеседования;
➡️ готовые решения на разных языках, которые составляет сам Авито;
➡️ тесты, типичные ошибки и вопросы, которые может задать интервьюер

Забирай в прикрепленном файле и делись с друзьями такой годнотой 🔥 
Еще больше инсайдерских материалов и контента показываем на наших курсах."
1815,2026-07-26 15:35:00,2026-07-26,sale,промокод,19200,Кого первым уволит ИИ ,0,,0,0,,0,0,,2,333,"Кого первым уволит ИИ 

Backend? Аналитиков? ML-инженеров? Или всё это очередной пузырь? Мы собрали представителей каждого направления и устроили дебаты. Каждый защищает свою профессию и объясняет, почему именно она останется востребованной в эпоху ИИ. Смотрим! Смотрим! И ищем промокод! 

https://www.youtube.com/watch?v=QwAjmDGJIlY"
1818,2026-07-27 20:05:25,2026-07-27,content,,22800,Дайджет сокращений ,0,,1,1,,0,0,,2,5807,"Дайджет сокращений 

Собрал слухи, интриги и расследования в айти и смежных отраслях за последние два месяца. Поддержите реакцией и делитесь с друзьями, если нравится такой контент и хотите больше инсайдов/анализа. 

Wildberries
В пятницу начал отзывать офферы, переносит даты выхода на работу (оффер в юридическом плане мало, что гарантирует). У компании большие проблемы: склады фигачат, их банки попали в санкционный список, скоро будут сносить приложения. Для маркет плейсов ожидаются непростые времена. 
Касаемо WB в начале мая попрощались с частью руководителей Data Science. Официально - оптимизация, неофициально - замена на более управляемых людей. Часть тимлидов ушла сама, без выходных пособий. Рядовых разработчиков не трогали, точечно отсеивают лишь тех, кто провалил перформанс-ревью. У WB очень много денег, руководству всегда насыпали щедро, но похоже сейчас пытаются обойтись точечными сокращениями - держим руку на пульсе! 
Есть стойкое ощущение, что многие ""вечно открытые"" вакансии WB с мгновенным автоотказом - бутафория. Их разбирают только когда действительно нужно, в остальное время просто собирают базу резюме.

Райффайзенбанк
Классическая стратегия ""мягкого выдавливания"". С прошлого года при уходе сотрудника из некритичных направлений замену не нанимали - просто замораживали позицию. С конца 2025 начали целиком расформировывать отделы, которые перестали быть нужны и генерировали только косты. 
С начала года убрали несколько платформенных IT-команд, чью пользу посчитали необязательной. Позже сократили персонал в рознице, финансах и рисках. При официальном увольнении обещают два оклада.
Параллельно банк обязывает сотрудников подписать допсоглашение о трёх днях в офисе - расчёт на то, что часть людей уйдёт сама. Также практикуют заморозку зарплат и отказ в индексации ""из-за отсутствия бюджета"", что тоже подталкивает к увольнению по собственному. 

Postgres Professional
Планируют сократить до 30% штата. Причина: падение чистой прибыли с 7 до 3 млрд. Забавно, что компания остаётся глубоко прибыльной, но режет людей. Похоже, готовятся к затяжному снижению спроса или просто решили увеличить маржу за счёт персонала.

Яндекс Маркет (и ""Поисковые сервисы и ИИ"")
Главная волна затронет направление ""Поиск и ИИ"". Здесь собираются ужать коммерческий департамент и отдельные продукты, включая сервис маркетинговых исследований ""Яндекс Взгляд"". Активные увольнения уже идут, во вторую фазу попадут те, у кого плохие метрики эффективности.
Почему: в 2025 году это направление показало рост выручки всего на 10% - намного хуже других сегментов, хотя на него приходится 34% всей выручки Яндекса. Хотят уволить до 15% сотрудников.
Схема такая: людей не выгоняют сразу, а предлагают заново пройти собеседования в другие команды. Не прошёл - покидаешь компанию.
Общая идеология Яндекса сейчас - ""Найм 2.0"": берут Middle-разработчиков, владеющих AI-инструментами, и ожидают, что они закроют задачи уровня Senior. Это как всегда откровенный демпинг зарплатных ожиданий.

Сбер
Готовятся к сокращению до 20% сотрудников в ряде департаментов к концу Q3.
Формальный повод - ""огромные успехи"" GigaChat. Топ-менеджеров убедили, что с помощью ИИ люди могут делать гораздо больше. Нарисованные метрики использования AI уже демонстрируют невероятный рост эффективности, и руководство верит в это.
Для IT-подразделений повысили KPI на 50%, объяснив это внедрением ИИ. Вводят строгий контроль: метрики использования AI-инструментов и запрет дробить крупные задачи на мелкие (чтобы не накручивать ""количество выполненных задач"").
Цель: сократив людей, сохранить продуктивность за счёт новых AI-практик. Основной удар придётся на роли, которые решили упразднить, и на сотрудников с рутинной работой, которую можно автоматизировать связкой ""Junior + GigaChat"". Вместо дорогостоящих специалистов будут нанимать дешёвую рабочую силу.
Первая волна намечена на конец Q2. Всё это нужно, чтобы оправдать огромные вливания в ИИ-проекты.

X5 Group
Сообщают о сокращении 20–30% персонала. Причина: недополученная в 2026 году прибыль (минус 20 млрд к уровню 2025) и рост налоговой нагрузки. Бюджеты на проекты серьёзно порезали.
Пока всё на стадии встреч 1-на-1, конкретики мало. Скорее всего, будут давить на добровольный уход. Внешних подрядчиков (аутстафф) уже сократили.
Интересные штрихи: весной заморозили индексацию зарплат, а прямо сейчас проводят опросы лояльности - при том, что людей предупреждают о сокращениях. Так же было и перед отменой индексации. После прихода менеджеров из Авито и Яндекса внедрили перф-ревью и оценку 360. На общих встречах до последнего уверяли, что сокращений не будет. Сейчас говорят, что постараются найти места внутри компании, но насколько это реально непонятно.
Официальный аргумент на all hands: борьба с теми, кто не отрабатывает 8 часов. Похоже, смена управленческой команды запустила переоценку эффективности и раздутости штата.

Ну а про сокращения в Т-банке, Туту, Авито, Альфа, Skyeng, ecom . tech и Купер вы уже слышали. Мои кандидаты на следующие массовые сокращения в ближайшие месяцы: Альфа, Ламода, НЛМК, X5, Лента, ОККО, Сравни, Ozon, Точка, МТС, а также Авито. Причина общая: набрали слишком много людей в сытые времена, сейчас будут ""оптимизировать"" отделы и проекты с плохими показателями эффективности и выручки. 

Поэтому важно всегда держать руку на пульсе и прокачивать универсальные скиллы: харды, софты. Эти навыки помогут вам всегда оставаться на коне: не попасть под сокращения или быстро найти новую работу, если уже оно случилось. Мы в Поступашках не только учим проходить собесы, но и рассказываем, куда лучше податься в текущих реалиях, а каких компаний стоит избегать и почему. Для начинающих специалистов советую линейку СТАРТ, а для продвинутых советую линейку ПРО, на которые сейчас идут предпродажи. 

Подписаться: @postypashki_old"
